ID|SalesArea|TimeSince1stOpening|TimeSinceLastOpening|HasCoffee|IsInShoppingMall|HasOnSiteBakery|Population_by_ZC_area_500m|Population500m|Population200m|Population100m|PurchasingPower500m|PurchasingPower200m|PurchasingPower100m|AlcSpending|FoodNonAlcSpending|TobaccoSpending|PopulationDistrict|NonNetworkShopsPerPop|NonNetworkShopsPerPP|NonNetworkShops|ZabkaCount500m|ZabkaCount200m|ZabkaCount100m|SelectedGFKNetworksPerPop|SelectedGFKNetworksPerPP|SelectedGFKNetworksPerZCArea|SelectedGFKNetworks|HighPriceCompetitors500m|HighPriceCompetitors200m|HighPriceCompetitors100m|LowPriceCompetitors500m|LowPriceCompetitors200m|LowPriceCompetitors100m|Discount_500mers500m|Discount_200mers200m|Discount_100mers100m|LiquorStores500m|LiquorStores200m|LiquorStores100m|DirectCompetitors500m|DirectCompetitors200m|DirectCompetitors100m|traditional_shops_100m|traditional_shops_200m|traditional_shops_500m|HasBiedronkaIn500|HasBiedronkaIn200|HasBiedronkaIn100|HasOtherDiscounterIn500|HasOtherDiscounterIn200|HasOtherDiscounterIn100|HasLiqureStoreIn500|HasLiqureStoreIn200|HasLiqureStoreIn100|DirectCompetitorsPerPP100K500m|DirectCompetitorsPerPP100K200m|DirectCompetitorsPerPP100K100m|DistanceCenterCompetitorsin200|TransportPOIs500m|TransportPOIs200m|TransportPOIs100m|TrafficDriversPOIs500m|TrafficDriversPOIs200m|TrafficDriversPOIs100m|AccomodationPlaces|CafeRestaurants500m|CafeRestaurants200m|CafeRestaurants100m|HasBigTrafficGenerator500m|HasBigTrafficGenerator200m|HasBigTrafficGenerator100m|HasChurchesIn500|HasChurchesIn200|HasChurchesIn100|HasBigDrugstoreIn100|HasSchoolIn200|HasSchoolIn100|HasMetroTrainStIn500|HasMetroTrainStIn200|HasMetroTrainStIn100|HasBusStopIn100|HasBusStopIn50|HasHospitalIn50|OfficeArea500m|OfficeArea200m|OfficeArea100m|asRuralArea500m|RuralArea200m|RuralArea100m|IsOfficeDistrict|DistanceCenterTrafficDriversin200|HasRossmannIn100|DistrictCategory|PP_PC_GMINA_CAT|POP_GMINA_CAT|IsCapitalCity|odl_drogi_krajowe_50m|odl_drogi_krajowe_25m|LocationClass|odl_drogi_sec_tert_25m|AccomodationPlacesPerPop|IsTouristicDistrict
7|0,14925373134328357|1,000000000000|,094972067039|0|0|0|8580|10336|975,38706711965597|213,10114830154271|241426073,66176677|27429261,475604534|6023451,8927416522|1038048|5540987|742249|551627|1,8648018648018648E-3|6,6272874993674832E-8|16|5|1|1|5,8275058275058275E-4|2,0710273435523383E-8|1,4040092065850778E-6|5|3|1|0|1|0|0|2|0|0|1|0|1|1|0|0|0|3|13|1|0|0|1|0|0|1|0|0|2,485232812262806E-3|3,6457416138943283E-3|0,01660177615438441|121,59009681437293|15|5|4|8|3|1|8054|2|0|0|1|0|0|1|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|64,474145495587507|0|miejska|30-35TYS|>500TYS|1|1|1|transport hub|1|14,600445590951857|0
13|0,17910447761194029|,942105263157|,083798882681|0|0|0|155|2588|24,813707634007805|6,2033784757298278|3752041,8966584727|600326,09680855658|150080,35245233556|75450|429361|59156|40464|0,4838709677419355|1,9989115810991921E-5|75|2|2|1|3,2258064516129031E-2|1,3326077207327949E-6|2,4399697423022229E-8|5|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|4|4|7|0|0|0|0|0|0|0|0|0|5,3304308829311794E-2|0,33315226684836224|0,66630973585805831|167,28313864507516|0|0|0|8|6|4|169|3|2|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3,7724260465175186E-2|0|0|0|43,663791859806345|0|miejsko-wiejska|20-25TYS|20-50TYS|0|0|0|neighbourhood|0|4,176551996836694|0
17|0,16119402985074627|,942105263157|,039106145251|0|0|0|135|2804|21,524129829863309|5,3810344642620036|3066578,8337631281|490653,63229702221|122663,45382020861|55643|320756|45506|25083|0,53333333333333333|2,3478933333550001E-5|72|3|1|1|0,05185185185185185|2,2826740740951391E-6|3,9544342667324184E-8|7|2|0|0|0|0|0|1|1|0|1|0|1|2|2|0|0|1|5|1|1|0|0|0|0|1|0|0|0,16304814814965279|0,61142928586003398|0,81523874377916106|62,190851178938388|5|4|3|14|3|1|348|0|0|0|0|0|0|1|0|0|0|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|24,993969300859234|0|miejska|20-25TYS|20-50TYS|0|0|0|transport hub|1|13,873938524099987|0
26|0,11940298507462686|,910526315789|,273743016759|0|0|0|1707|7136|273,17673704337312|68,294539317973332|37992089,133416906|6078713,6034692498|1519686,3015788803|670883|3726862|534402|181617|1,8746338605741066E-2|8,4228060972444889E-7|32|3|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|1|3|3|0|0|0|0|0|0|0|0|0|1,0528507621555612E-2|0,03290169812998852|6,5803054154074336E-2|182,26871690058582|6|2|2|3|1|0|407|4|3|0|1|1|1|1|0|0|0|0|0|0|0|0|1|1|1|0|0|0|3,8213598943054067E-2|0|0|0|20,388710943349594|0|miejska|20-25TYS|50-200TYS|0|0|0|neighbourhood|1|2,2409796439760594|0
60|0,11343283582089553|,915789473684|,256983240223|0|0|0|2460|3967|394,56199105021426|98,640460268314527|70936625,853403628|11378913,137731444|2844727,2031232091|696983|3756080|491563|92462|4,2276422764227641E-2|1,4660973615368252E-6|104|2|1|1|6,9105691056910567E-3|2,3965053025121184E-7|7,1591904039453231E-7|17|1|0|0|3|1|0|0|0|0|0|0|0|0|0|0|0|2|12|0|0|0|0|0|0|0|0|0|2,819418002955433E-3|8,7881855489703193E-3|3,5152755557794998E-2|169,23693305105766|3|0|0|11|4|0|92|16|4|0|1|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|0|0|7,6515725747960783E-2|0|0|0|102,50931719861227|0|miejska|25-30TYS|50-200TYS|0|0|0|institutional hub|0|0,99500335272868856|0
69|0,10746268656716418|,926315789473|,983240223463|0|0|0|7464|6495|1095,5908670096326|292,71719993459982|220295673,83841991|32386526,138366569|8650502,8049759865|1768469|9315728|1229106|551627|4,6891747052518759E-3|1,5887738233875361E-7|35|2|1|1|2,6795284030010718E-4|9,0787075622144914E-9|5,3035191199242285E-7|2|1|0|0|1|0|0|1|1|1|0|0|0|0|0|0|0|0|2|1|1|1|0|0|0|0|0|0|9,0787075622144914E-4|3,0877038053653866E-3|1,1560021683650284E-2|0|6|1|0|4|0|0|8054|1|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|196,76361855153999|0|miejska|30-35TYS|>500TYS|1|0|0|neighbourhood|0|14,600445590951857|0
73|0,12238805970149254|,926315789473|,474860335195|0|0|0|1636|3266|249,68485824624693|62,420950344738912|41269124,424537838|6300861,8488293504|1575208,7946276113|280101|1578376|228420|60818|4,5843520782396091E-2|1,8173392589692654E-6|75|2|2|2|6,1124694376528117E-4|2,4231190119590204E-8|7,1384506262276574E-8|1|2|1|1|1|1|0|1|0|0|1|1|1|0|0|0|0|1|9|1|0|0|0|0|0|1|1|0|4,8462380239180413E-3|3,1741689438431094E-2|0,12696729518151351|56,426270347962522|2|1|0|17|9|3|430|27|4|2|1|0|0|1|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|57,387258383123338|0|miejska|20-25TYS|50-200TYS|0|0|0|institutional hub|0|7,0702752474596338|0
74|0,10746268656716418|,915789473684|,810055865921|0|0|0|3554|11981|568,63644044740204|142,1592567670813|79471252,798597679|12715368,670914808|3178845,44710933|594444|3398157|511300|181617|4,4738323016319637E-2|2,0007234616390199E-6|159|9|2|1|1,9696117051209903E-3|8,8082164977818494E-8|4,6574891646067029E-7|7|4|0|0|1|1|1|2|1|0|1|1|1|2|0|0|3|7|27|1|1|0|0|0|0|1|1|1|1,3841483067942906E-2|1,5728997339847558E-2|3,1457962226799856E-2|87,410343356741649|15|1|0|30|11|3|407|31|23|6|1|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|50,355651900212138|0|miejska|20-25TYS|50-200TYS|0|0|0|institutional hub|0|2,2409796439760594|0
78|0,10746268656716418|,921052631578|,111731843575|0|0|0|128|2069|20,540967652850018|5,1352409178650067|2669993,4317062036|427198,89939142426|106799,70414720735|59681|348467|49829|29977|0,390625|1,8726637828486547E-5|50|1|1|1|0,0546875|2,6217292959881163E-6|3,816989278955025E-8|7|1|0|0|0|0|0|3|1|0|1|1|1|0|0|0|1|1|7|1|0|0|1|1|0|1|1|1|3,7453275656973095E-2|0,23408300007901997|0,93633218180234867|14,219762108293393|1|0|0|12|9|1|352|15|7|3|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|38,413456464839648|0|miejsko-wiejska|20-25TYS|20-50TYS|0|0|0|institutional hub|0|11,742335790772925|0
81|0,12835820895522387|,921052631578|,156424581005|1|0|0|71|2654|11,280851565640559|2,8202133890324674|1469734,3113841666|235157,5147173666|58789,389052639192|41366|237445|33829|16038|0,6619718309859155|3,1978568939944206E-5|47|1|1|1|4,2253521126760563E-2|2,0411852514858005E-6|1,6792020148356291E-8|3|0|0|0|4|1|0|1|1|0|3|1|3|0|0|0|1|2|8|1|1|0|0|0|0|1|1|1|0,06803950838286002|0,42524688237239178|1,7009872293529265|29,106556247769497|1|0|0|12|6|1|343|1|0|0|0|0|0|1|1|0|0|1|0|1|0|0|0|0|0|0|0|0|1,348771973849406E-3|0|0|0|65,349039692342629|0|miejsko-wiejska|20-25TYS|<20TYS|0|1|0|neighbourhood|0|21,386706571891757|0
