ID|SalesArea|Revenue|TimeSince1stOpening|TimeSinceLastOpening|HasCoffee|IsInShoppingMall|HasOnSiteBakery|Population_by_ZC_area_500m|Population500m|Population200m|Population100m|PurchasingPower500m|PurchasingPower200m|PurchasingPower100m|AlcSpending|FoodNonAlcSpending|TobaccoSpending|PopulationDistrict|NonNetworkShopsPerPop|NonNetworkShopsPerPP|NonNetworkShops|ZabkaCount500m|ZabkaCount200m|ZabkaCount100m|SelectedGFKNetworksPerPop|SelectedGFKNetworksPerPP|SelectedGFKNetworksPerZCArea|SelectedGFKNetworks|HighPriceCompetitors500m|HighPriceCompetitors200m|HighPriceCompetitors100m|LowPriceCompetitors500m|LowPriceCompetitors200m|LowPriceCompetitors100m|Discount_500mers500m|Discount_200mers200m|Discount_100mers100m|LiquorStores500m|LiquorStores200m|LiquorStores100m|DirectCompetitors500m|DirectCompetitors200m|DirectCompetitors100m|traditional_shops_100m|traditional_shops_200m|traditional_shops_500m|HasBiedronkaIn500|HasBiedronkaIn200|HasBiedronkaIn100|HasOtherDiscounterIn500|HasOtherDiscounterIn200|HasOtherDiscounterIn100|HasLiqureStoreIn500|HasLiqureStoreIn200|HasLiqureStoreIn100|DirectCompetitorsPerPP100K500m|DirectCompetitorsPerPP100K200m|DirectCompetitorsPerPP100K100m|DistanceCenterCompetitorsin200|TransportPOIs500m|TransportPOIs200m|TransportPOIs100m|TrafficDriversPOIs500m|TrafficDriversPOIs200m|TrafficDriversPOIs100m|AccomodationPlaces|CafeRestaurants500m|CafeRestaurants200m|CafeRestaurants100m|HasBigTrafficGenerator500m|HasBigTrafficGenerator200m|HasBigTrafficGenerator100m|HasChurchesIn500|HasChurchesIn200|HasChurchesIn100|HasBigDrugstoreIn100|HasSchoolIn200|HasSchoolIn100|HasMetroTrainStIn500|HasMetroTrainStIn200|HasMetroTrainStIn100|HasBusStopIn100|HasBusStopIn50|HasHospitalIn50|OfficeArea500m|OfficeArea200m|OfficeArea100m|asRuralArea500m|RuralArea200m|RuralArea100m|IsOfficeDistrict|DistanceCenterTrafficDriversin200|HasRossmannIn100|DistrictCategory|PP_PC_GMINA_CAT|POP_GMINA_CAT|IsCapitalCity|odl_drogi_krajowe_50m|odl_drogi_krajowe_25m|LocationClass|odl_drogi_sec_tert_25m|AccomodationPlacesPerPop|IsTouristicDistrict
14|0,17910447761194029|0,23873474197394623|,942105263157|,279329608938|0|0|0|51|2916|8,1649504844357441|2,0412383459797345|974972,26061255427|155995,65733381434|38998,928182490017|23284|138253|20589|12121|0,39215686274509803|2,0513404132579552E-5|20|1|1|1|7,8431372549019607E-2|4,1026808265159111E-6|2,1441987091929409E-8|4|2|0|0|0|0|0|1|1|1|0|0|0|0|0|0|1|1|2|1|1|1|0|0|0|0|0|0|0,10256702066289777|0,64104348614019746|2,5641730339886268|99,971807846631521|0|0|0|4|1|1|131|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,09472828014475719|0|0|0|101,82404379881579|0|miejsko-wiejska|<20TYS|<20TYS|0|1|1|neighbourhood|0|10,807689134559855|0
15|0,16716417910447762|0,1762232791099087|,936842105263|,106145251396|0|0|0|161|2412|25,837567173701721|6,4593943414678376|4100737,8413894591|656119,40285018843|164029,91541755787|91847|526042|74158|27938|0,37888198757763975|1,4875371789026942E-5|61|2|1|1|3,7267080745341616E-2|1,4631513235108468E-6|4,4780295079853276E-8|6|2|0|0|2|0|0|2|2|0|2|0|2|0|0|0|1|2|7|1|1|0|1|1|0|1|0|0|4,8771710783694897E-2|0,15241128301586437|0,60964489157625901|33,782849949136484|0|0|0|13|6|1|162|0|0|0|0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|6,7076247351258611E-2|0|0|0|87,223566875068627|0|miejsko-wiejska|25-30TYS|20-50TYS|0|0|0|neighbourhood|0|5,7985539408690672|0
19|0,10149253731343283|0,22332938372395905|,942105263157|,111731843575|0|1|0|3911|9043|625,8257014360313|156,45642195227799|87308888,3864474|13969421,959326835|3492355,4137880974|1365338|7677232|1125826|181617|9,460496036819227E-3|4,2378274060975629E-7|37|1|1|1|7,6706724622858599E-4|3,4360762752142403E-8|5,9554699757790334E-7|3|3|2|2|2|2|1|0|0|0|0|0|0|0|0|0|3|5|10|0|0|0|0|0|0|0|0|0|1,1453587584047467E-3|7,1584923335524216E-3|2,8633969957694468E-2|55,93891733266161|8|1|0|3|2|1|407|3|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|8,6185549536687833E-2|0|0|0|92,485624515275916|0|miejska|20-25TYS|50-200TYS|0|0|0|neighbourhood|0|2,2409796439760594|0
22|0,12835820895522387|0,23073151068036127|,942105263157|,776536312849|0|1|0|3022|6710|483,56925163914138|120,89228222007586|66142147,714030899|10582754,777631778|2645688,0227736984|819507|4667092|689988|53798|0,01455989410986102|6,652339169607305E-7|44|3|1|1|3,3090668431502316E-4|1,5118952658198419E-8|1,449550774362549E-7|1|0|0|0|2|0|0|1|1|1|2|0|2|2|1|0|3|3|13|1|1|1|0|0|0|1|0|0|7,5594763290992104E-3|1,8898670922880084E-2|3,7797351440991722E-2|67,110636474627697|7|4|2|10|6|2|0|9|4|1|0|0|0|1|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0,13264387139790998|0,04253712263035498|0|0|39,808350207786781|0|miejska|20-25TYS|50-200TYS|0|0|0|transport hub|1|0|0
23|0,14328358208955225|0,29052056213064303|,942105263157|1,000000000000|1|0|0|5562|6347|659,46944232349483|320,31976206413674|177597731,54516327|21389183,877289552|10390025,050187413|586524|3104128|418201|551627|3,9554117224020139E-3|1,2387545611417552E-7|22|8|1|1|3,595828838547285E-4|1,1261405101288684E-8|1,255750432176894E-6|2|1|0|0|0|0|0|1|0|0|0|0|0|1|1|0|2|2|11|1|0|0|0|0|0|0|0|0|5,0676322955799076E-3|9,3505203913999968E-3|9,6246158711808145E-3|114,7717876323813|13|1|0|24|0|0|8054|38|0|0|1|0|0|1|0|0|0|1|0|0|0|0|0|0|0|9244|0|0|0|0|0|0|157,07249072694751|0|miejska|30-35TYS|>500TYS|1|0|0|neighbourhood|0|14,600445590951857|0
24|0,1253731343283582|0,35058910938313759|,942105263157|,441340782122|0|1|0|6826|6754|1593,0610961635239|663,80469809574208|223789485,9729754|51856080,788950101|21685245,942950021|1242580|6645974|901604|551627|3,0764723117491944E-3|9,3838188638298846E-8|21|4|2|1|4,3949604453559916E-4|1,3405455519756979E-8|2,1330495028721313E-6|3|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|3|11|0|0|0|0|0|0|0|0|0|1,7873940693009305E-3|0,00385682830166019|4,6114302905801482E-3|162,06480743765096|9|2|0|3|1|0|8054|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|89,25204999740339|0|miejska|30-35TYS|>500TYS|1|0|0|shopping street|1|14,600445590951857|0
33|0,1253731343283582|0,18575226151863161|,936842105263|,513966480446|0|0|0|369|1180|59,041595809507697|14,760402128962385|8062059,3342681769|1289930,7662322971|322482,76095957437|36770|209746|29524|40543|0,18428184281842819|8,4345695287756917E-6|68|1|1|1|3,5230352303523033E-2|1,6124912334424115E-6|1,8762342720305394E-7|13|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|3|0|0|0|0|0|0|0|0|0|1,2403778718787782E-2|7,7523540501391153E-2|0,31009409527021431|200|0|0|0|0|0|0|223|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7,8966323218567849E-2|0|0|0|200|0|miejsko-wiejska|20-25TYS|20-50TYS|0|0|0|neighbourhood|1|5,5003329797992251|0
34|0,1253731343283582|0,333969824923527|,936842105263|,240223463687|0|0|0|99|1972|15,884725974977604|3,9711809193012226|2298809,0126290428|367809,41009780345|91952,339223270406|47741|277986|39246|23614|0,47474747474747475|2,044536964219061E-5|47|1|1|1|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|5|7|16|1|0|0|0|0|0|0|0|0|4,3500786472745974E-2|0,27187993905161156|1,0875199135194265|200|1|1|0|8|5|2|111|6|0|0|1|0|0|1|1|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|80,803416109335686|0|miejsko-wiejska|20-25TYS|20-50TYS|0|0|0|neighbourhood|0|4,7006013381892098|0
36|0,13134328358208955|0,20045814537888171|,921052631578|,162011173184|0|0|0|1375|2037|219,97266713501395|54,993460306043879|33247992,723044634|5319661,707699337|1329922,5252580449|76403|435827|61912|72382|0,10690909090909091|4,4213195432430516E-6|147|3|1|1|0,01090909090909091|4,5115505543296442E-7|3,6037249039640228E-7|15|1|0|0|0|0|0|1|0|0|1|1|1|0|0|0|1|3|21|1|0|0|0|0|0|1|1|1|9,0231011086592885E-3|1,8798187835002068E-2|7,5192350005950162E-2|44,743162646425596|1|0|0|23|4|0|484|10|0|0|0|0|0|0|0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|128,36210555479192|0|miejska|20-25TYS|50-200TYS|0|0|0|institutional hub|0|6,6867453234229508|0
39|0,12238805970149254|0,13405116577514609|,936842105263|,553072625698|0|0|0|72|2486|11,507062599830233|2,8767697736725575|1616627,8965546156|258660,3755177242|64665,186573953302|28933|168267|23545|17607|0,5|2,2268575271232053E-5|36|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|6,1857153531200151E-2|0,38660734099625432|1,5464271472508102|200|1|0|0|9|7|4|252|0|0|0|0|0|0|1|1|1|1|0|0|1|0|0|0|0|0|0|0|0|0,11343944295605481|0|0|0|2,2008833301925317|1|miejsko-wiejska|20-25TYS|<20TYS|0|0|0|shopping street|1|14,312489350826375|0
